posX,posY,posZ,vx,vy,vz,angleFromWorldX
-0.0036589451832320543,2.4932789568697498,-0.0009085864692261054,-0.014660721091528921,-0.17655700369796176,-0.00004959876909128886,0.10529624807344233
-0.0046394585045791345,2.495638541999364,-0.0009362592361979178,-0.01367535613192032,-0.17394647143822092,-0.0016163497566333608,0.12764862265107235
-0.001507852710177559,2.494433622848894,-0.00040045614554562177,0.047054894797830524,-0.16592942651267592,0.051231077590083836,0.05667581671420622
-0.0022657257769595263,2.492287883916359,-0.0004667342887278443,-0.014366611316655923,-0.17796832040605315,-0.0016599890275601633,0.07375859553415137
-0.0033205122835877053,2.492808489854072,-0.0004921461189828059,-0.01637360755870721,-0.17823960408526673,-0.000014619353306720062,0.09769398734738627
-0.004432975055094381,2.493833785264087,-0.0004931323494543176,-0.016788539073277882,-0.178656449324276,-0.000018387943056902838,0.1230425088076103
-0.0024241270329256044,2.4953260751502926,-0.0007059507059790002,0.10808252780808066,-0.28844276424718424,-0.005758012008037623,0.07745633693604785
-0.003188264399645124,2.4930922750471485,-0.0008149345619401188,-0.013966104338875756,-0.17583567889031268,-0.0003135993833157971,0.09637053214695723
-0.004196046486097297,2.4937780546751376,-0.000827544617990595,-0.015546106522211101,-0.17717481820952788,-0.00025596385883947003,0.11930516209869999
-0.0021374055737963743,2.495109057024568,-0.0011277179122408695,0.10831955318810575,-0.28864800798543055,-0.008267528639518395,0.0726817692187601
-0.0028143899273083695,2.4929273343151497,-0.0012730514220670316,-0.012530896950831141,-0.17401665933630836,-0.000630007682382935,0.09030871458623188
-0.003724195721113495,2.4935139942130156,-0.0013063723147340829,-0.013974130220101341,-0.17535906202884416,-0.0004993048110081874,0.11090939952194154
-0.004562129252279878,2.496046291498484,-0.0014526817228728449,-0.011694694879095198,-0.1703246207213749,-0.0032599432491652747,0.129984265212885
-0.003508741002554777,2.4958494217114575,-0.0010856838597466552,0.01382960830340107,-0.16694292916960882,0.01895832735252718,0.10605542442799709
-0.0030776387830541868,2.4941394980414473,-0.00009014486395214292,-0.009868906917756477,-0.17191147608444676,0.000364937938095141,0.09625512161316885
-0.004115008391025114,2.493790076081817,-0.0000928621195002096,-0.017075633455921106,-0.1789756755736752,-0.000018230385891527246,0.11981968819740137
-0.002172648552422201,2.495236176149704,-0.00020057768313136096,0.10805446659588186,-0.28868576058619805,-0.003421167258988837,0.07589057471060925
-0.003064004594155152,2.492990304497744,-0.0002998535446791946,-0.01573399171569816,-0.17722570987600658,-0.00038878290570212447,0.09620082367298399
-0.0041744097064131585,2.493760156496819,-0.00029996362349865715,-0.01702883781976329,-0.17892245689056294,0.00000791791431174697,0.1214300288496488
-0.0022162058232525223,2.4952900666153344,-0.00044854954756178445,0.10811645777090746,-0.28877956495785423,-0.0045783520251757755,0.07714971775183284
-0.0030197671964118577,2.493035201376383,-0.0005146110898210334,-0.014390495620472366,-0.17628481408797117,-0.000005648813849005696,0.09542170410352974
-0.00409575823773074,2.493736379060233,-0.0005414488906003305,-0.016469485108722894,-0.17804615271984456,-0.00030075251356274804,0.11984391000694161
-0.00211496520163646,2.495197839303518,-0.0007618837802120048,0.108172510441839,-0.2887757457231281,-0.006591887734749448,0.0750759779064131
-0.0028524897835060393,2.4929745135432366,-0.0008860904445362766,-0.013798915423917823,-0.17569305672019794,-0.0009377422815305067,0.09348852483586285
-0.003854774952819871,2.4936451068122696,-0.0009308078760743473,-0.01554244254367111,-0.17662741587630268,-0.0007999561559281482,0.11615851324074211
-0.0038226662185306694,2.4968243379929524,-0.0011888015662889504,0.04504963491377436,-0.23475676084434693,-0.009034190985746171,0.11546887773516791
-0.001519042969735437,2.4925243998545006,-0.0005354773419452918,-0.010443342209548097,-0.1729918364703956,-0.0011009400022254847,0.06357074531810394
-0.002424566298780615,2.4925216111160142,-0.0006657407035985095,-0.014566845263336004,-0.17711620587824456,-0.0012317586328221676,0.08387717255106615
-0.0034594060944054253,2.49322381647238,-0.0006897570216402715,-0.015731596758048718,-0.17739675853838724,-0.00022088561837052678,0.1072895631801836
-0.004491733629823818,2.495725870944329,-0.000733074274184352,-0.014368288892453757,-0.1743604388390011,-0.0018977492891448,0.1307523509462695
-0.0022077439860643017,2.4931748277589154,-0.0010808391706902244,-0.010748137542079211,-0.17080870458598882,-0.0018285071808425112,0.08145945797161629
-0.0030889491982049504,2.4931268854552977,-0.0011358585709383478,-0.014240651907165894,-0.17532025217219915,-0.00080547972814414,0.10133892955294009
-0.004030209891051527,2.495448885203947,-0.0012126267569640648,-0.013052194591978506,-0.1725693622887341,-0.0023724741824658942,0.12267860525032723
-0.003427938444191232,2.4961485430715387,-0.0011961779825066907,0.015180848279036535,-0.1652156631841473,0.018597199427155306,0.1090549695833965
-0.002940414009083937,2.4942446622760164,-0.00020175375386025159,-0.009279574678056915,-0.17126958380155172,0.00024430273184926604,0.09800938856548512
-0.003929533687122123,2.4938514543707693,-0.0002016285232743322,-0.016361295373999576,-0.17824193976355712,-2.809656583541518e-7,0.12041423854519245
-0.0019558638403823834,2.4952179949166213,-0.00034689237329060894,0.10823419491279654,-0.2888582328336643,-0.004578769188024402,0.0759533680173322
-0.0028131445562329964,2.4929664706189305,-0.00045951649484799216,-0.015290659053579738,-0.17650189743651173,-0.0007706369810538139,0.09531660083964265
-0.0038761966905097728,2.4937113587003266,-0.0004736009307643241,-0.016176575656674574,-0.17799439220194538,-0.00006999485613788617,0.11939217513404246
-0.001888180476640748,2.4951456477833354,-0.0006538231887627744,0.10787135521682571,-0.2891832811944802,-0.004782955681165452,0.07447714798914383
-0.0027944569824361583,2.492821968574503,-0.000980271732832236,-0.013731205474508481,-0.18110752427200427,-0.005200630378040319,0.09643334128243743
